#Supplementary Table S2. GCF representative BGCs and their associated Seurat clusters in the BTyperBGC atlas.
Seurat_clusters	GCF_representative_BGCs
2	BGC0000424
2	BGC0001189
2	BGC0002691
0	BGC0001800
9	BGC0001972
9	BGC0002152
4	BGC0000927
4	BGC0002379
2	BGC0000329
2	BGC0000411
2	BGC0000323
2	BGC0002092
2	BGC0002752
2	BGC0000425
2	BGC0000437
2	BGC0001149
2	BGC0002765
2	BGC0000328
10	BGC0000961
0	BGC0001853
4	BGC0001053
4	BGC0001687
4	BGC0000069
2	BGC0001834
9	BGC0002370
8	BGC0000874
12	BGC0000883
6	BGC0000882
9	BGC0002018
1	BGC0001036
3	BGC0000378
3	BGC0000060
3	BGC0002915
10	BGC0001774
0	BGC0001069
0	BGC0001751
9	BGC0000658
0	BGC0001611
0	BGC0001823
6	BGC0000904
12	BGC0001739
4	BGC0000897
5	BGC0000997
6	BTDB_2025-0003888.1.clustersSAMN39321991-SRR27955938_00070_cluster_1
5	BGC0000906
7	BGC0002713
10	BGC0000383
11	BGC0001572
11	BGC0001531
6	BGC0002620
2	BGC0001870
1	BGC0001889
5	BGC0002425
4	BGC0001283
3	BGC0002862
1	BGC0002892
1	BGC0002669
4	BGC0000625
10	BGC0000842
2	BGC0000319
3	BGC0002091
4	BGC0002412
3	BGC0001193
8	BGC0000373
9	BGC0000058
5	BGC0001098
0	BGC0001033
3	BGC0001054
5	BGC0000867
3	BGC0003135
0	BGC0000969
0	BGC0001212
0	BGC0002974
2	BGC0002760
2	BGC0002125
4	BGC0003010
1	BGC0000565
6	BTDB_2025-0004447.1.clustersSAMN43795658-GCA_042262165.1_Contig_222_cluster_1
4	BGC0000291
2	BGC0002360
10	BGC0000432
4	BGC0000316
2	BGC0000360
2	BGC0000369
0	BGC0002131
2	BGC0001127
1	BGC0001521
0	BGC0000985
2	BTDB_2022-0003371.2.clustersJAIVKQ010000025.1_cluster_1
1	BTDB_2025-0001168.1.clustersJAFLOX010000001.1_cluster_8
1	BTDB_2025-0003473.1.clustersSAMN36379299-GCA_031157435.1_Contig_8_cluster_1
3	BGC0000694
3	BTDB_2025-0001882.1.clustersSAMN31312550-SRR21929940_00013_cluster_2
1	AS.BTDB_2022-0001119_c00060_GCA_002...region001
1	AS.BTDB_2022-0001284_CP024109.1.region009
6	BTDB_2022-0001294.2.clustersNRSR01000002.1_cluster_4
4	BTDB_2022-0001998.2.clustersGCA_002568465.1_Contig_25_cluster_1
2	BTDB_2025-0001422.1.clustersSAMN23375370-SRR16994589_00011_cluster_3
11	BTDB_2022-0004423.2.clustersSRX12906719_00130_cluster_1
12	AS.BTDB_2025-0003426_SAMN35055521_1.region001
1	AS.BTDB_2022-0002464_c00103_GCA_002...region001
10	BTDB_2022-0002445.2.clustersGCA_002582595.1_Contig_143_cluster_1
2	BTDB_2025-0000788.1.clustersJAAQPO010000012.1_cluster_1
12	AS.BTDB_2025-0004727_SAMN44839457_3.region001
6	AS.BTDB_2022-0001142_c00073_GCA_002...region001
4	BGC0003096
6	BTDB_2025-0000792.1.clustersSAMN14512912-GCA_045004335.1_Contig_1_cluster_24
3	BGC0001394
3	BGC0001034
2	AS.BTDB_2025-0003870_c00001_SAMN393...region003
6	AS.BTDB_2025-0004978_JBMEQE010000005.region001
12	BTDB_2025-0003545.1.clustersSAMN36761974-SRR25463593_00007_cluster_1
3	AS.BTDB_2022-0001353_c00089_GCA_002...region001
3	BGC0001902
3	AS.BTDB_2022-0001317_c00064_GCA_002...region001
3	BTDB_2022-0001572.2.clustersGCA_002557665.1_Contig_135_cluster_1
3	BGC0000970
3	BTDB_2025-0000008.1.clustersbarcode08_00007_cluster_3
6	BTDB_2022-0003611.2.clustersJAKUGL010000002.1_cluster_2
6	BTDB_2022-0004108.2.clustersSRX9201625_00018_cluster_1
5	BTDB_2022-0001998.2.clustersGCA_002568465.1_Contig_152_cluster_1
3	BGC0002054
1	AS.BTDB_2022-0000507_c00030_GCA_000...region001
3	BGC0002808
6	AS.BTDB_2022-0005104_SRX2501033_00476.region001
1	AS.BTDB_2025-0004055_CP151867.1.region008
10	AS.BTDB_2022-0001212_c00007_GCA_002...region001
3	AS.BTDB_2025-0003756_SAMN38195819_1.region001
3	AS.BTDB_2024-0000033_contig00021.region001
1	BGC0000188
9	BGC0001488
2	BGC0000287
0	BGC0001560
0	BGC0000981
12	BGC0000998
3	BGC0001537
2	BGC0002755
2	BGC0001207
2	BGC0000461
2	BGC0001657
2	BGC0002384
0	BGC0001088
2	BGC0001413
2	BGC0002654
0	BGC0001711
1	BGC0000549
1	BGC0000538
1	BGC0000556
1	BGC0002668
1	BGC0000511
1	AS.BTDB_2022-0001234_c00009_GCA_002...region001
11	BTDB_2025-0004440.1.clustersSAMN43787695-GCA_042268725.1_Contig_27_cluster_1
1	BGC0001701
1	BGC0002323
4	AS.BTDB_2025-0002108_JAQFSM010000002.region002
1	AS.BTDB_2025-0003129_c00003_SAMN339...region001
4	BTDB_2025-0000793.1.clustersSAMN14512913-GCA_045004325.1_Contig_1_cluster_19
0	AS.BTDB_2022-0006241_c00040_SRX1154...region001
0	BTDB_2022-0000043.2.clustersDRX150688_00065_cluster_1
10	BGC0000858
6	BTDB_2022-0003050.2.clustersSAMN15163833-SRR12077163_00001_cluster_5
12	BTDB_2025-0003377.1.clustersJARVHO010000002.1_cluster_2
2	BTDB_2025-0001818.1.clustersSAMN29790566-SRR21002692_00046_cluster_1
0	BTDB_2022-0001768.2.clustersGCA_002562165.1_Contig_102_cluster_1
0	BTDB_2022-0003390.2.clustersJAJERI010000037.1_cluster_1
5	BGC0002652
1	BGC0003023
5	BGC0001437
9	BTDB_2022-0003590.2.clustersJAKUFP010000040.1_cluster_1
5	BGC0000893
4	AS.BTDB_2022-0002834_c00022_GCA_008...region001
2	BGC0001480
5	BGC0001285
2	BGC0002871
9	BTDB_2022-0001734.2.clustersGCA_002561395.1_Contig_43_cluster_1
12	BTDB_2025-0001759.1.clustersSAMN29019226_2_cluster_1
0	BGC0000122
0	BTDB_2022-0002487.2.clustersGCA_002584535.1_Contig_200_cluster_1
12	BGC0000950
12	BGC0000283
12	BTDB_2022-0003781.2.clustersPS01331|SAMN25893829_2_cluster_3
12	BTDB_2022-0000050.2.clustersDRX205302_00050_cluster_1
12	BGC0002095
12	AS.BTDB_2024-0000005_contig00002.region001
3	BTDB_2022-0003007.2.clustersGCA_011751555.1_Contig_17_cluster_1
5	BTDB_2025-0003705.1.clustersJAWMBY010000011.1_cluster_1
4	AS.BTDB_2022-0003098_VOVB01000028.1.region001
2	BGC0001728
10	BGC0001435
4	BGC0001726
12	BGC0002919
10	BGC0002006
2	BGC0000367
2	AS.BTDB_2022-0000703_JOTM01000095.1.region001
1	BTDB_2025-0001412.1.clustersSAMN22842844-SRR16706344_00035_cluster_1
10	BTDB_2022-0003091.2.clustersGCA_014932895.1_Contig_16_cluster_1
5	AS.BTDB_2022-0002315_c00115_GCA_002...region001
6	AS.BTDB_2025-0003898_JAZGJY010000007.region001
6	BTDB_2025-0003899.1.clustersJAZGJZ010000005.1_cluster_1
11	BTDB_2024-0000113.1.clusterscontig00008_cluster_1
0	BGC0002977
7	BTDB_2025-0002654.1.clustersSAMN32974960-SRR23885281_00009_cluster_1
5	BTDB_2022-0002431.2.clustersGCA_002582035.1_Contig_74_cluster_1
7	BTDB_2024-0000081.1.clusterscontig00020_cluster_1
10	BTDB_2022-0001654.2.clustersGCA_002559665.1_Contig_68_cluster_1
1	BTDB_2025-0001273.1.clustersSAMN18335993-SRR13988847_00026_cluster_1
10	BTDB_2025-0004567.1.clustersSAMN43997968-GCA_044764365.1_Contig_19_cluster_1
4	BTDB_2025-0001834.1.clustersCP103779.1_cluster_3
4	BTDB_2025-0003391.1.clustersSAMN34374869-SRR27678772_00001_cluster_6
1	BTDB_2025-0003882.1.clustersSAMN39321984-SRR27784341_00001_cluster_11
4	BTDB_2025-0003888.1.clustersSAMN39321991-SRR27955938_00287_cluster_1
6	BGC0002013
1	AS.BTDB_2022-0003072_c00005_SAMN153...region001
9	AS.BTDB_2025-0004683_SAMN44839413_1.region003
10	AS.BTDB_2024-0000030_contig00029.region001
1	BGC0000504
1	BTDB_2025-0002245.1.clustersJAQFNF010000015.1_cluster_1
1	AS.BTDB_2022-0002690_SJQG01000041.1.region001
7	BTDB_2022-0002295.2.clustersGCA_002576645.1_Contig_135_cluster_1
7	AS.BTDB_2022-0002814_c00032_GCA_008...region001
6	AS.BTDB_2025-0001207_c00290_SAMN183...region001
4	BTDB_2022-0005687.2.clustersSRX3974095_00053_cluster_1
4	AS.BTDB_2025-0004632_c00010_SAMN446...region001
6	BTDB_2024-0000016.1.clusterscontig00167_cluster_1
7	BTDB_2025-0004358.1.clustersCP165965.1_cluster_2
5	AS.BTDB_2022-0000721_c00014_GCA_000...region001
2	AS.BTDB_2022-0002739_CP029455.1.region001
4	BGC0001715
2	BGC0000400
1	BGC0003160
10	AS.BTDB_2025-0002110_JAQFSK010000031.region001
10	AS.BTDB_2022-0002338_c00048_GCA_002...region001
4	BGC0001964
1	BTDB_2024-0000014.1.clusterscontig00021_cluster_1
7	BTDB_2022-0003685.2.clustersJANHED010000025.1_cluster_1
6	BTDB_2022-0001611.2.clustersGCA_002558665.1_Contig_49_cluster_1
9	BTDB_2025-0002564.1.clustersSAMN32974869-SRR23885433_00001_cluster_1
1	BTDB_2025-0001802.1.clustersSAMN29790550-SRR21002949_00063_cluster_1
7	AS.BTDB_2022-0003191_JAEHBP010000027.region001
12	AS.BTDB_2022-0006476_c00008_GCA_003...region001
1	AS.BTDB_2022-0006147_c00004_SRX1130...region001
1	AS.BTDB_2022-0006409_c00023_SAMN049...region001
2	AS.BTDB_2025-0001802_c00017_SAMN297...region002
7	AS.BTDB_2022-0002214_c00006_GCA_002...region001
5	BTDB_2022-0003050.2.clustersSAMN15163833-SRR12077163_00001_cluster_24
7	BGC0001532
2	BGC0002432
2	BGC0000449
1	AS.BTDB_2024-0000093_contig00011.region001
1	BTDB_2025-0001158.1.clustersJAFLPH010000004.1_cluster_6
12	AS.BTDB_2022-0000834_c00033_GCA_001...region001
12	BGC0000895
10	AS.BTDB_2022-0002237_c00004_GCA_002...region001
2	AS.BTDB_2025-0002151_JAQFQV010000005.region003
12	BTDB_2022-0003706.2.clustersGCA_900094345.1_Contig_30_cluster_1
1	BTDB_2025-0000791.1.clustersSAMN14512911-GCA_045004345.1_Contig_1_cluster_15
6	BTDB_2025-0001283.1.clustersSAMN18336003-SRR13988834_00145_cluster_1
5	AS.BTDB_2022-0002352_c00087_GCA_002...region001
5	BTDB_2025-0003386.1.clustersSAMN34374858-SRR27678686_00003_cluster_1
5	BTDB_2025-0003873.1.clustersSAMN39321974-SRR27479381_00001_cluster_8
5	BTDB_2025-0000470.1.clustersSAMEA117660585-ERR14722881_00022_cluster_1
4	BTDB_2022-0003638.2.clustersCP064268.1_cluster_2
7	BTDB_2025-0001735.1.clustersSAMN27545801-GCA_025515965.1_Contig_9_cluster_1
7	AS.BTDB_2022-0002042_c00380_GCA_002...region001
7	BTDB_2025-0000791.1.clustersSAMN14512911-GCA_045004345.1_Contig_1_cluster_11
3	AS.BTDB_2022-0002538_c00050_GCA_002...region001
8	AS.BTDB_2025-0004400_c00001_SAMN433...region001
6	BTDB_2022-0001998.2.clustersGCA_002568465.1_Contig_220_cluster_1
7	AS.BTDB_2025-0004076_SAMN40747984_1.region011
7	BTDB_2022-0003975.2.clustersSRX9201578_00285_cluster_1
1	AS.BTDB_2022-0002445_c00236_GCA_002...region001
1	AS.BTDB_2025-0001679_c00003_SAMN275...region001
1	BTDB_2024-0000106.1.clusterscontig00141_cluster_1
3	BGC0000127
4	BTDB_2022-0001319.2.clustersGCA_002550135.1_Contig_279_cluster_1
4	AS.BTDB_2025-0001415_c00005_SAMN231...region002
1	AS.BTDB_2022-0000721_c00009_GCA_000...region003
12	AS.BTDB_2022-0001452_c00082_GCA_002...region001
2	AS.BTDB_2022-0002352_c00116_GCA_002...region001
1	AS.BTDB_2025-0001880_c00006_SAMN313...region003
9	BTDB_2022-0003172.2.clustersJAEHCH010000012.1_cluster_1
6	AS.BTDB_2025-0001343_c00046_SAMN183...region001
10	AS.BTDB_2022-0003720_c00016_GCA_900...region001
3	AS.BTDB_2022-0001507_c00061_GCA_002...region001
2	AS.BTDB_2022-0003638_CP064266.1.region004
4	AS.BTDB_2022-0000866_CP013274.1.region002
1	AS.BTDB_2022-0003273_CP066184.1.region009
12	BTDB_2022-0000619.2.clustersGCA_000299035.1_Contig_4_cluster_3
12	BTDB_2025-0000050.1.clustersSAMD00167003-DRR174863_00064_cluster_1
11	BTDB_2022-0001737.2.clustersGCA_002561535.1_Contig_351_cluster_1
10	AS.BTDB_2024-0000062_contig00004.region001
2	AS.BTDB_2024-0000120_contig00008.region002
4	BGC0001847
4	AS.BTDB_2025-0001828_CP113365.1.region003
1	AS.BTDB_2025-0000295_c00017_SAMEA99...region002
1	AS.BTDB_2025-0003911_c00049_SAMN396...region001
1	BGC0002306
6	AS.BTDB_2022-0001520_c00076_GCA_002...region001
4	BTDB_2025-0000791.1.clustersSAMN14512911-GCA_045004345.1_Contig_1_cluster_2
1	BTDB_2022-0000305.2.clustersERX3363446_00026_cluster_1
6	AS.BTDB_2022-0000301_ERX3363442_00065.region001
6	AS.BTDB_2022-0003095_VOVA01000008.1.region001
1	BTDB_2025-0001412.1.clustersSAMN22842844-SRR16706344_00106_cluster_1
2	BTDB_2022-0000703.2.clustersJOTM01000019.1_cluster_1
1	AS.BTDB_2022-0001871_c00086_GCA_002...region001
1	BTDB_2025-0004060.1.clustersSAMN40626903_3_cluster_2
4	BTDB_2024-0000085.1.clusterscontig00025_cluster_1
1	AS.BTDB_2025-0004497_c00113_SAMN437...region001
7	AS.BTDB_2025-0001502_c00039_SAMN240...region001
5	AS.BTDB_2022-0003185_JAEHBV010000022.region001
7	AS.BTDB_2025-0001571_c00060_SAMN275...region001
8	BTDB_2025-0003555.1.clustersCP132066.1_cluster_4
4	BTDB_2025-0003889.1.clustersSAMN39321992-SRR27784340_00001_cluster_11
10	BTDB_2022-0000802.2.clustersGCA_001008565.1_Contig_54_cluster_1
7	BTDB_2022-0002374.2.clustersGCA_002579545.1_Contig_92_cluster_1
7	BTDB_2022-0001741.2.clustersGCA_002561585.1_Contig_135_cluster_1
1	BTDB_2022-0002237.2.clustersGCA_002575305.1_Contig_54_cluster_1
10	AS.BTDB_2022-0003159_QGLX01000023.1.region001
6	BTDB_2025-0002461.1.clustersSAMN32974749-SRR23885249_00010_cluster_1
1	BTDB_2022-0000721.2.clustersGCA_000746925.1_Contig_11_cluster_2
7	BTDB_2025-0004490.1.clustersSAMN43796664-GCA_042798575.1_Contig_22_cluster_2
7	AS.BTDB_2022-0001410_c00183_GCA_002...region001
7	AS.BTDB_2022-0003570_JAKUEW010000002.region004
0	BTDB_2025-0004567.1.clustersSAMN43997968-GCA_044764365.1_Contig_14_cluster_1
4	BTDB_2022-0003833.2.clustersPS01943|SAMN29228814_2_cluster_1
1	BTDB_2022-0001481.2.clustersGCA_002555485.1_Contig_222_cluster_1
12	BTDB_2022-0002487.2.clustersGCA_002584535.1_Contig_151_cluster_1
7	BTDB_2025-0004095.1.clustersCP152429.1_cluster_4
2	BTDB_2022-0003540.2.clustersCP092833.1_cluster_10
1	BTDB_2024-0000006.1.clusterscontig00008_cluster_1
2	BTDB_2022-0006030.1.clustersSRX112995-SRR392466_00130_cluster_1
1	BTDB_2022-0002608.2.clustersPVRM01000049.1_cluster_1
6	BTDB_2025-0003705.1.clustersJAWMBY010000015.1_cluster_1
12	BGC0000982
3	BGC0001945
1	AS.BTDB_2024-0000053_contig00016.region001
1	BTDB_2022-0000627.2.clustersCP004135.1_cluster_2
10	BTDB_2025-0000794.1.clustersSAMN14829702-GCA_014926245.2_Contig_7_cluster_2
5	AS.BTDB_2025-0003893_c00147_SAMN394...region001
10	AS.BTDB_2022-0001711_c00031_GCA_002...region001
4	AS.BTDB_2025-0004611_c00006_SAMN444...region001
1	AS.BTDB_2022-0000665_c00082_GCA_000...region001
9	BTDB_2025-0002239.1.clustersJAQFNL010000011.1_cluster_1
4	BTDB_2022-0001343.2.clustersGCA_002550605.1_Contig_32_cluster_1
4	BTDB_2022-0001854.2.clustersGCA_002565225.1_Contig_168_cluster_1
4	BTDB_2022-0002134.2.clustersGCA_002571545.1_Contig_348_cluster_1
4	BTDB_2022-0000508.2.clustersGCA_000161255.1_Contig_168_cluster_1
11	BTDB_2024-0000034.1.clusterscontig00009_cluster_1
3	BTDB_2022-0000619.2.clustersGCA_000299035.1_Contig_2_cluster_3
13	BTDB_2025-0003889.1.clustersSAMN39321992-SRR27784340_00001_cluster_13
1	BGC0000560
4	BTDB_2022-0001089.2.clustersGCA_002024565.1_Contig_4_cluster_2
1	BTDB_2025-0004319.1.clustersSAMN42024033-SRR29533968_00002_cluster_1
11	BTDB_2025-0004816.1.clustersSAMN45893315_1_cluster_2
10	BTDB_2025-0003412.1.clustersSAMN34375040-SRR27678707_00001_cluster_13
7	AS.BTDB_2022-0002487_c00032_GCA_002...region001
6	BGC0001725
11	BTDB_2022-0002728.2.clustersSAMN11936627-SRR12104977_00054_cluster_1
4	BTDB_2022-0003315.2.clustersCP036038.1_cluster_1
4	BTDB_2025-0002411.1.clustersSAMN32927398-SRR23276690_00044_cluster_1
13	BTDB_2022-0002717.2.clustersGCA_005217335.1_Contig_495_cluster_1
11	AS.BTDB_2025-0004137_c00027_SAMN417...region001
1	AS.BTDB_2025-0001221_SAMN18335939_1.region003
10	BTDB_2022-0002219.2.clustersGCA_002574885.1_Contig_101_cluster_1
10	AS.BTDB_2025-0002089_JAQFTF010000001.region001
10	AS.BTDB_2022-0000702_JOTN01000012.1.region001
10	AS.BTDB_2024-0000113_contig00010.region001
4	AS.BTDB_2022-0000322_ERX3363465_00033.region001
6	AS.BTDB_2025-0001585_c00182_SAMN275...region001
6	AS.BTDB_2025-0002541_c00022_SAMN329...region001
1	AS.BTDB_2022-0003006_SAMD00204526_2.region001
1	AS.BTDB_2022-0003641_CP095379.1.region001
9	AS.BTDB_2022-0001360_c00111_GCA_002...region001
7	AS.BTDB_2022-0001673_c00031_GCA_002...region001
1	AS.BTDB_2025-0002124_JAQFRW010000020.region001
12	BTDB_2022-0000837.2.clustersGCA_001050335.1_Contig_6_cluster_1
1	AS.BTDB_2022-0003277_CP066194.1.region003
1	AS.BTDB_2024-0000121_contig00009.region001
9	BTDB_2022-0001038.2.clustersMNKZ01000096.1_cluster_1
11	BTDB_2025-0002264.1.clustersJAQFMM010000026.1_cluster_1
2	AS.BTDB_2025-0000938_c00398_SAMN162...region001
5	AS.BTDB_2022-0002662_CP031443.1.region010
1	BTDB_2022-0001186.2.clustersGCA_002147825.1_Contig_257_cluster_1
1	BGC0000452
4	AS.BTDB_2022-0001064_SAMN05953540_1.region007
10	AS.BTDB_2022-0000980_LXLV01000032.1.region001
4	AS.BTDB_2022-0001493_c00169_GCA_002...region001
10	AS.BTDB_2022-0000703_JOTM01000002.1.region001
10	AS.BTDB_2022-0002477_c00007_GCA_002...region001
12	AS.BTDB_2025-0001226_c00041_SAMN183...region001
12	BTDB_2022-0003161.2.clustersCP065650.1_cluster_3
6	BTDB_2025-0001197.1.clustersSAMN18335913-SRR13988925_00262_cluster_1
6	AS.BTDB_2022-0001000_MACH01000080.1.region002
10	AS.BTDB_2022-0002809_c00014_GCA_008...region002
4	BTDB_2022-0001064.2.clustersSAMN05953540_1_cluster_4
0	AS.BTDB_2024-0000014_contig00038.region001
6	BTDB_2022-0003948.2.clustersSRX8911432_00004_cluster_2
6	AS.BTDB_2025-0000471_c00111_SAMEA11...region001
1	BGC0002686
5	BGC0002474
5	BGC0002695
5	BGC0002696
2	BGC0002475
6	AS.BTDB_2022-0001337_c00122_GCA_002...region001
11	BTDB_2022-0001384.2.clustersGCA_002552045.1_Contig_86_cluster_2
4	BTDB_2025-0001441.1.clustersSAMN23375389-SRR16994617_00001_cluster_1
11	AS.BTDB_2022-0001286_CP024096.1.region007
10	BTDB_2022-0002327.2.clustersGCA_002577405.1_Contig_70_cluster_1
5	BGC0000352
5	BGC0002473
5	BGC0001637
5	BGC0000460
5	BGC0001345
2	BGC0002688
3	AS.BTDB_2022-0002743_c00014_GCA_007...region001
2	AS.BTDB_2022-0002547_NWUW01000065.1.region001
7	AS.BTDB_2022-0003275_CP066187.1.region006
1	AS.BTDB_2025-0004838_c00003_SAMN461...region001
2	BGC0000368
5	BGC0002689
5	BGC0000359
5	BGC0001890
12	AS.BTDB_2022-0002049_c00157_GCA_002...region001
12	BTDB_2022-0001481.2.clustersGCA_002555485.1_Contig_25_cluster_1
5	BTDB_2022-0001541.2.clustersGCA_002556955.1_Contig_218_cluster_1
6	AS.BTDB_2025-0003104_c00015_SAMN337...region001
4	BTDB_2025-0003363.1.clustersJARVHA010000001.1_cluster_4
9	BTDB_2025-0003306.1.clustersSAMN33940920-SRR24035166_00188_cluster_1
2	BTDB_2022-0001562.2.clustersGCA_002557395.1_Contig_147_cluster_1
1	AS.BTDB_2025-0000729_c00028_SAMN122...region004
2	AS.BTDB_2022-0003748_UAPX01000016.1.region001
4	AS.BTDB_2022-0000955_CP015350.1.region005
7	AS.BTDB_2022-0000660_c00035_GCA_000...region001
7	AS.BTDB_2022-0001268_c00015_GCA_002...region001
12	BGC0001095
1	AS.BTDB_2025-0000011_barcode11_00022.region001
4	AS.BTDB_2022-0001183_c00018_GCA_002...region001
1	AS.BTDB_2025-0001810_c00011_SAMN297...region001
4	AS.BTDB_2022-0002664_c00044_GCA_003...region001
10	AS.BTDB_2025-0001733_JAOPSI010000001.region002
4	BGC0000854
12	BTDB_2022-0001261.2.clustersGCA_002200185.1_Contig_134_cluster_1
12	BTDB_2022-0001131.2.clustersGCA_002146695.1_Contig_37_cluster_1
4	AS.BTDB_2022-0002632_QGGE01000035.1.region001
1	BTDB_2025-0002525.1.clustersSAMN32974815-SRR23885459_00018_cluster_1
1	BGC0000520
2	BTDB_2022-0003584.2.clustersJAKUFL010000012.1_cluster_1
7	BTDB_2022-0000703.2.clustersJOTM01000039.1_cluster_1
4	BTDB_2025-0001729.1.clustersJAOPSK010000048.1_cluster_1
6	BTDB_2024-0000042.1.clusterscontig00031_cluster_1
6	BTDB_2022-0001668.2.clustersGCA_002559945.1_Contig_295_cluster_1
7	BTDB_2025-0000791.1.clustersSAMN14512911-GCA_045004345.1_Contig_1_cluster_25
4	BTDB_2022-0000918.2.clustersGCA_001619445.1_Contig_26_cluster_1
6	BTDB_2022-0000010.2.clustersDRX057088_00123_cluster_1
11	BTDB_2024-0000005.1.clusterscontig00014_cluster_1
1	BTDB_2025-0004246.1.clustersSAMN41980936-SRR29495161_00029_cluster_1
1	BTDB_2022-0001000.2.clustersMACH01000020.1_cluster_1
1	BTDB_2022-0002581.2.clustersSAMN07955876-SRR6238351_00019_cluster_1
1	BGC0000517
7	BTDB_2024-0000043.1.clusterscontig00029_cluster_1
1	BTDB_2022-0003285.2.clustersPHKR01000008.1_cluster_1
4	BTDB_2025-0001762.1.clustersSAMN29019229_1_cluster_7
7	BTDB_2025-0004263.1.clustersSAMN41980953-SRR29495143_00011_cluster_2
11	BTDB_2022-0001833.2.clustersGCA_002564745.1_Contig_164_cluster_1
4	BTDB_2022-0002818.2.clustersCP031070.1_cluster_1
10	BTDB_2022-0002365.2.clustersGCA_002579165.1_Contig_1_cluster_1
6	BTDB_2022-0001161.2.clustersGCA_002147325.1_Contig_66_cluster_1
4	BTDB_2025-0001272.1.clustersSAMN18335992-SRR13988848_00014_cluster_1
4	BTDB_2025-0002682.1.clustersSAMN32974989-SRR23885397_00165_cluster_1
4	BTDB_2022-0000792.2.clustersGCA_000940785.1_Contig_3_cluster_1
4	BTDB_2025-0003695.1.clustersJAWMBO010000045.1_cluster_1
1	AS.BTDB_2022-0001189_c00082_GCA_002...region001
5	BTDB_2022-0003371.2.clustersJAIVKQ010000014.1_cluster_1
10	AS.BTDB_2022-0001256_c00009_GCA_002...region001
4	AS.BTDB_2022-0000360_ERX463601_00053.region001
4	AS.BTDB_2022-0003630_JAKUHD010000029.region001
1	BTDB_2025-0000792.1.clustersSAMN14512912-GCA_045004335.1_Contig_1_cluster_31
